#{"t_start": 1690534340.438434, "env_id": "highway-v0"}
r,l,t
16.479901,20,2836.59971
6.931389,10,2839.411931
16.570323,21,2845.39779
23.231695,29,2853.561964
26.793062,37,2864.253016
2.55226,4,2865.451322
11.269471,16,2869.978847
9.747141,12,2873.492101
3.112245,5,2874.999853
6.666153,8,2877.326698
8.483921,12,2880.78451
8.757689,12,2884.153408
24.080295,30,2892.767823
28.915846,35,2902.797448
2.576279,4,2903.977109
14.261776,18,2909.281929
15.61327,22,2915.66068
5.152033,7,2917.679667
16.100178,18,2922.817281
4.997964,7,2924.880363
10.742857,14,2928.951879
8.109769,10,2931.793087
1.73277,3,2932.63176
2.016534,3,2933.50441
16.038828,21,2939.627817
29.928929,40,2951.267763
16.220828,22,2957.678385
13.930314,17,2962.657786
2.665438,4,2963.829091
10.199055,12,2967.270025
25.898392,33,2976.838501
20.697603,26,2984.356091
2.508499,4,2985.544585
1.599059,3,2986.421296
33.649021,40,2998.067311
11.415892,16,3002.679991
8.686228,12,3006.078016
1.832355,3,3007.017393
15.395989,17,3012.026911
3.771822,5,3013.471524
13.616963,15,3017.863415
8.22278,10,3020.725225
0.938842,2,3021.327163
10.703094,15,3025.642625
29.211331,40,3037.187624
9.595748,13,3041.014382
13.438079,16,3045.69662
1.81965,3,3046.566746
3.882979,5,3047.99469
11.277889,13,3051.763456
21.036978,28,3059.774498
5.350456,7,3061.810512
7.568979,9,3064.397047
5.267808,8,3066.821745
1.619496,3,3067.734541
29.525353,40,3079.315124
14.857426,20,3085.089763
20.394045,27,3092.712481
7.814346,11,3095.7865
28.632881,36,3122.647498
23.296267,32,3131.698067
17.595534,25,3138.840437
28.069364,40,3150.051811
1.687401,3,3150.92428
4.331964,7,3152.954018
7.456577,9,3155.555016
5.279855,7,3157.555748
12.856359,16,3162.196048
9.772519,11,3165.316397
10.334741,15,3169.747089
21.194274,28,3177.836516
2.488069,4,3178.976022
13.260585,18,3184.070284
2.904752,4,3185.289613
22.948188,30,3193.905475
31.993789,40,3205.692746
3.939107,5,3207.216793
2.598513,4,3208.373115
2.042838,3,3209.249526
7.792252,9,3211.844951
15.742712,21,3217.795377
8.063371,10,3220.766016
29.721144,39,3231.939422
8.72453,10,3234.786214
2.465179,4,3235.969092
10.637132,14,3240.068926
1.995543,3,3240.958081
5.242659,8,3243.243411
13.169807,18,3248.443089
5.670284,8,3250.751932
5.356836,8,3253.108942
12.136138,17,3258.120601
30.1068,38,3269.010425
30.993795,40,3280.530986
2.420723,4,3281.737521
6.179814,9,3284.313303
2.072402,3,3285.22438
4.904608,6,3286.87733
7.264483,10,3289.845459
13.221601,19,3295.372824
5.06932,8,3297.76223
2.52944,4,3298.958901
8.994656,11,3302.08692
12.215494,16,3306.637002
21.48711,30,3315.226805
21.481851,27,3322.893726
23.156023,28,3330.787457
4.879925,6,3332.516357
2.043882,3,3333.365983
22.455781,28,3341.392174
3.597658,5,3342.910313
20.299735,27,3350.683371
7.371861,10,3353.510217
27.078222,35,3363.681374
1.839988,3,3364.547221
9.596484,13,3368.312674
17.952082,23,3375.056688
1.619496,3,3375.946619
6.418567,9,3378.592519
7.347583,9,3381.176261
3.531834,5,3382.605551
2.442946,4,3383.768618
15.947876,21,3389.612394
5.775597,8,3391.928553
1.112117,2,3392.552566
4.594178,6,3394.279564
